"Dato";"Region";"Kategori";"Antal borgere"
2020-06-28;Nordjylland;Indlæggelse pga. covid-19;4
2020-06-28;Sjælland;Indlæggelse pga. covid-19;1
2020-06-29;Hovedstaden;Indlæggelse pga. andre forhold end covid-19;1
2020-06-29;Nordjylland;Indlæggelse pga. covid-19;2
2020-07-01;Hovedstaden;Indlæggelse pga. covid-19;1
2020-07-01;Sjælland;Indlæggelse pga. covid-19;1
2020-07-02;Hovedstaden;Indlæggelse pga. covid-19;1
2020-07-02;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-07-02;Nordjylland;Indlæggelse pga. covid-19;1
2020-07-02;Syddanmark;Indlæggelse pga. covid-19;1
2020-07-03;Hovedstaden;Indlæggelse pga. covid-19;1
2020-07-03;Midtjylland;Indlæggelse pga. covid-19;1
2020-07-03;Sjælland;Indlæggelse pga. andre forhold end covid-19;1
2020-07-05;Hovedstaden;Indlæggelse pga. andre forhold end covid-19;1
2020-07-05;Hovedstaden;Indlæggelse pga. covid-19;1
2020-07-05;Syddanmark;Indlæggelse pga. covid-19;1
2020-07-06;Hovedstaden;Indlæggelse pga. covid-19;1
2020-07-06;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-07-06;Sjælland;Indlæggelse, hvor covid-19 kan have spillet en rolle;2
2020-07-07;Hovedstaden;Indlæggelse pga. covid-19;1
2020-07-07;Nordjylland;Indlæggelse pga. covid-19;1
2020-07-08;Nordjylland;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-07-09;Hovedstaden;Indlæggelse pga. covid-19;1
2020-07-09;Sjælland;Indlæggelse pga. covid-19;1
2020-07-09;Syddanmark;Indlæggelse pga. covid-19;1
2020-07-10;Hovedstaden;Indlæggelse pga. covid-19;1
2020-07-10;Nordjylland;Indlæggelse pga. covid-19;1
2020-07-10;Nordjylland;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-07-11;Hovedstaden;Indlæggelse pga. covid-19;3
2020-07-11;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-07-11;Nordjylland;Indlæggelse pga. covid-19;1
2020-07-12;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-07-14;Hovedstaden;Indlæggelse pga. andre forhold end covid-19;1
2020-07-14;Hovedstaden;Indlæggelse pga. covid-19;2
2020-07-14;Midtjylland;Indlæggelse pga. covid-19;1
2020-07-15;Hovedstaden;Indlæggelse pga. andre forhold end covid-19;1
2020-07-15;Hovedstaden;Indlæggelse pga. covid-19;1
2020-07-15;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-07-15;Sjælland;Indlæggelse pga. andre forhold end covid-19;1
2020-07-15;Sjælland;Indlæggelse pga. covid-19;1
2020-07-16;Hovedstaden;Indlæggelse pga. covid-19;1
2020-07-17;Hovedstaden;Indlæggelse pga. covid-19;2
2020-07-17;Nordjylland;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-07-17;Sjælland;Indlæggelse pga. covid-19;1
2020-07-18;Hovedstaden;Indlæggelse pga. covid-19;2
2020-07-19;Hovedstaden;Indlæggelse pga. covid-19;1
2020-07-19;Sjælland;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-07-20;Hovedstaden;Indlæggelse pga. andre forhold end covid-19;1
2020-07-20;Hovedstaden;Indlæggelse pga. covid-19;2
2020-07-20;Sjælland;Indlæggelse pga. covid-19;1
2020-07-21;Hovedstaden;Indlæggelse pga. covid-19;1
2020-07-21;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-07-22;Hovedstaden;Indlæggelse pga. covid-19;1
2020-07-22;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;2
2020-07-22;Midtjylland;Indlæggelse pga. covid-19;1
2020-07-23;Hovedstaden;Indlæggelse pga. andre forhold end covid-19;1
2020-07-23;Nordjylland;Indlæggelse pga. covid-19;1
2020-07-24;Sjælland;Indlæggelse pga. covid-19;1
2020-07-24;Syddanmark;Indlæggelse pga. andre forhold end covid-19;1
2020-07-25;Hovedstaden;Indlæggelse pga. covid-19;1
2020-07-25;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-07-25;Sjælland;Indlæggelse pga. covid-19;2
2020-07-25;Syddanmark;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-07-26;Hovedstaden;Indlæggelse pga. covid-19;2
2020-07-26;Sjælland;Indlæggelse pga. andre forhold end covid-19;1
2020-07-27;Hovedstaden;Indlæggelse pga. andre forhold end covid-19;1
2020-07-27;Hovedstaden;Indlæggelse pga. covid-19;1
2020-07-27;Sjælland;Indlæggelse pga. covid-19;1
2020-07-28;Hovedstaden;Indlæggelse pga. andre forhold end covid-19;1
2020-07-28;Sjælland;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-07-29;Hovedstaden;Indlæggelse pga. covid-19;2
2020-07-29;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-07-29;Midtjylland;Indlæggelse pga. covid-19;2
2020-07-29;Sjælland;Indlæggelse pga. covid-19;2
2020-07-30;Hovedstaden;Indlæggelse pga. covid-19;2
2020-07-30;Nordjylland;Indlæggelse pga. covid-19;1
2020-07-30;Sjælland;Indlæggelse pga. andre forhold end covid-19;1
2020-07-30;Sjælland;Indlæggelse pga. covid-19;1
2020-07-31;Midtjylland;Indlæggelse pga. covid-19;1
2020-07-31;Midtjylland;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-07-31;Syddanmark;Indlæggelse pga. covid-19;1
2020-08-01;Midtjylland;Indlæggelse pga. covid-19;3
2020-08-01;Sjælland;Indlæggelse pga. covid-19;1
