"Uge";"Region";"Antal reinfektioner";"Reinfektioner pr. 100.000 borgere"
2021-U13;Midtjylland;6;0,45
2021-U13;Nordjylland;2;0,34
2021-U13;Sjælland;3;0,36
2021-U13;Syddanmark;7;0,57
2021-U14;Hovedstaden;27;1,46
2021-U14;Midtjylland;7;0,53
2021-U14;Nordjylland;4;0,68
2021-U14;Sjælland;8;0,96
2021-U14;Syddanmark;4;0,33
2021-U15;Hovedstaden;29;1,57
2021-U15;Midtjylland;9;0,68
2021-U15;Sjælland;4;0,48
2021-U15;Syddanmark;6;0,49
2021-U16;Hovedstaden;23;1,24
2021-U16;Midtjylland;3;0,23
2021-U16;Nordjylland;5;0,85
2021-U16;Sjælland;6;0,72
2021-U16;Syddanmark;6;0,49
2021-U17;Hovedstaden;23;1,24
2021-U17;Midtjylland;3;0,23
2021-U17;Nordjylland;2;0,34
2021-U17;Sjælland;5;0,60
2021-U17;Syddanmark;5;0,41
2021-U18;Hovedstaden;29;1,57
2021-U18;Midtjylland;4;0,30
2021-U18;Nordjylland;1;0,17
2021-U18;Sjælland;6;0,72
2021-U18;Syddanmark;5;0,41
2021-U19;Hovedstaden;29;1,57
2021-U19;Midtjylland;9;0,68
2021-U19;Nordjylland;3;0,51
2021-U19;Sjælland;2;0,24
2021-U19;Syddanmark;2;0,16
2021-U20;Hovedstaden;32;1,73
2021-U20;Midtjylland;6;0,45
2021-U20;Nordjylland;9;1,53
2021-U20;Sjælland;6;0,72
2021-U20;Syddanmark;7;0,57
2021-U21;Hovedstaden;22;1,19
2021-U21;Midtjylland;9;0,68
2021-U21;Nordjylland;6;1,02
2021-U21;Sjælland;5;0,60
2021-U21;Syddanmark;6;0,49
2021-U22;Hovedstaden;23;1,24
2021-U22;Midtjylland;8;0,60
2021-U22;Nordjylland;5;0,85
2021-U22;Sjælland;2;0,24
2021-U22;Syddanmark;4;0,33
2021-U23;Hovedstaden;21;1,14
2021-U23;Midtjylland;6;0,45
2021-U23;Nordjylland;4;0,68
2021-U23;Sjælland;4;0,48
2021-U23;Syddanmark;4;0,33
2021-U24;Hovedstaden;16;0,86
2021-U24;Midtjylland;1;0,08
2021-U24;Nordjylland;1;0,17
2021-U24;Sjælland;3;0,36
2021-U24;Syddanmark;2;0,16
2021-U25;Hovedstaden;9;0,49
2021-U25;Midtjylland;2;0,15
2021-U25;Sjælland;1;0,12
2021-U25;Syddanmark;1;0,08
2021-U26;Hovedstaden;24;1,30
2021-U26;Midtjylland;2;0,15
2021-U26;Nordjylland;1;0,17
