"Kommune";"Kommunenavn";"Aldersgruppe";"Bekræftede tilfælde i alt";"Dagsdato"
410;Middelfart;03-05;672;2022-11-14
420;Assens;03-05;632;2022-11-14
430;Faaborg-Midtfyn;03-05;858;2022-11-14
440;Kerteminde;03-05;436;2022-11-14
450;Nyborg;03-05;535;2022-11-14
461;Odense;03-05;3957;2022-11-14
479;Svendborg;03-05;1035;2022-11-14
480;Nordfyn;03-05;528;2022-11-14
482;Langeland;03-05;119;2022-11-14
492;Ærø;03-05;53;2022-11-14
510;Haderslev;03-05;902;2022-11-14
530;Billund;03-05;485;2022-11-14
540;Sønderborg;03-05;1314;2022-11-14
550;Tønder;03-05;603;2022-11-14
561;Esbjerg;03-05;2238;2022-11-14
563;Fanø;03-05;53;2022-11-14
573;Varde;03-05;937;2022-11-14
575;Vejen;03-05;816;2022-11-14
580;Aabenraa;03-05;1212;2022-11-14
607;Fredericia;03-05;990;2022-11-14
615;Horsens;03-05;1853;2022-11-14
621;Kolding;03-05;1864;2022-11-14
630;Vejle;03-05;2614;2022-11-14
657;Herning;03-05;1851;2022-11-14
661;Holstebro;03-05;1240;2022-11-14
665;Lemvig;03-05;305;2022-11-14
671;Struer;03-05;311;2022-11-14
706;Syddjurs;03-05;645;2022-11-14
707;Norddjurs;03-05;495;2022-11-14
710;Favrskov;03-05;1023;2022-11-14
727;Odder;03-05;392;2022-11-14
730;Randers;03-05;1689;2022-11-14
740;Silkeborg;03-05;2023;2022-11-14
741;Samsø;03-05;21;2022-11-14
746;Skanderborg;03-05;1609;2022-11-14
751;Århus;03-05;6385;2022-11-14
756;Ikast-Brande;03-05;807;2022-11-14
760;Ringkøbing-Skjern;03-05;926;2022-11-14
766;Hedensted;03-05;895;2022-11-14
773;Morsø;03-05;315;2022-11-14
779;Skive;03-05;769;2022-11-14
787;Thisted;03-05;734;2022-11-14
791;Viborg;03-05;1815;2022-11-14
810;Brønderslev;03-05;749;2022-11-14
813;Frederikshavn;03-05;971;2022-11-14
820;Vesthimmerland;03-05;632;2022-11-14
825;Læsø;03-05;13;2022-11-14
840;Rebild;03-05;737;2022-11-14
846;Mariagerfjord;03-05;706;2022-11-14
849;Jammerbugt;03-05;701;2022-11-14
851;Aalborg;03-05;3777;2022-11-14
860;Hjørring;03-05;1257;2022-11-14
;;06-11;310;2022-11-14
019;;06-11;178;2022-11-14
101;København;06-11;27586;2022-11-14
147;Frederiksberg;06-11;4380;2022-11-14
151;Ballerup;06-11;2825;2022-11-14
153;Brøndby;06-11;2140;2022-11-14
155;Dragør;06-11;964;2022-11-14
157;Gentofte;06-11;4466;2022-11-14
159;Gladsaxe;06-11;4264;2022-11-14
161;Glostrup;06-11;1234;2022-11-14
163;Herlev;06-11;1981;2022-11-14
165;Albertslund;06-11;1697;2022-11-14
167;Hvidovre;06-11;3588;2022-11-14
169;Høje Tåstrup;06-11;3142;2022-11-14
173;Lyngby-Taarbæk;06-11;3303;2022-11-14
175;Rødovre;06-11;2619;2022-11-14
183;Ishøj;06-11;1476;2022-11-14
