"Kommune";"Kommunenavn";"Aldersgruppe";"Bekræftede tilfælde i alt";"Dagsdato"
760;Ringkøbing-Skjern;70-79;2;2022-11-14
766;Hedensted;70-79;3;2022-11-14
779;Skive;70-79;1;2022-11-14
787;Thisted;70-79;2;2022-11-14
791;Viborg;70-79;5;2022-11-14
810;Brønderslev;70-79;1;2022-11-14
813;Frederikshavn;70-79;8;2022-11-14
820;Vesthimmerland;70-79;4;2022-11-14
840;Rebild;70-79;2;2022-11-14
846;Mariagerfjord;70-79;4;2022-11-14
849;Jammerbugt;70-79;5;2022-11-14
851;Aalborg;70-79;11;2022-11-14
860;Hjørring;70-79;2;2022-11-14
101;København;80-89;17;2022-11-14
147;Frederiksberg;80-89;2;2022-11-14
151;Ballerup;80-89;1;2022-11-14
155;Dragør;80-89;1;2022-11-14
157;Gentofte;80-89;3;2022-11-14
159;Gladsaxe;80-89;2;2022-11-14
161;Glostrup;80-89;1;2022-11-14
173;Lyngby-Taarbæk;80-89;1;2022-11-14
175;Rødovre;80-89;2;2022-11-14
185;Tårnby;80-89;2;2022-11-14
190;Furesø;80-89;1;2022-11-14
201;Allerød;80-89;1;2022-11-14
210;Fredensborg;80-89;3;2022-11-14
217;Helsingør;80-89;1;2022-11-14
219;Hillerød;80-89;1;2022-11-14
223;Hørsholm;80-89;7;2022-11-14
240;Egedal;80-89;3;2022-11-14
250;Frederikssund;80-89;2;2022-11-14
253;Greve;80-89;4;2022-11-14
259;Køge;80-89;3;2022-11-14
260;Halsnæs;80-89;1;2022-11-14
265;Roskilde;80-89;1;2022-11-14
269;Solrød;80-89;2;2022-11-14
270;Gribskov;80-89;1;2022-11-14
306;Odsherred;80-89;1;2022-11-14
320;Faxe;80-89;2;2022-11-14
326;Kalundborg;80-89;1;2022-11-14
329;Ringsted;80-89;2;2022-11-14
330;Slagelse;80-89;3;2022-11-14
336;Stevns;80-89;2;2022-11-14
340;Sorø;80-89;3;2022-11-14
360;Lolland;80-89;4;2022-11-14
370;Næstved;80-89;3;2022-11-14
376;Guldborgsund;80-89;5;2022-11-14
400;Bornholm;80-89;2;2022-11-14
420;Assens;80-89;1;2022-11-14
440;Kerteminde;80-89;3;2022-11-14
461;Odense;80-89;5;2022-11-14
479;Svendborg;80-89;1;2022-11-14
482;Langeland;80-89;3;2022-11-14
492;Ærø;80-89;1;2022-11-14
540;Sønderborg;80-89;1;2022-11-14
550;Tønder;80-89;2;2022-11-14
561;Esbjerg;80-89;3;2022-11-14
573;Varde;80-89;8;2022-11-14
580;Aabenraa;80-89;1;2022-11-14
615;Horsens;80-89;2;2022-11-14
621;Kolding;80-89;1;2022-11-14
630;Vejle;80-89;6;2022-11-14
661;Holstebro;80-89;1;2022-11-14
740;Silkeborg;80-89;2;2022-11-14
751;Århus;80-89;3;2022-11-14
766;Hedensted;80-89;1;2022-11-14
787;Thisted;80-89;2;2022-11-14
813;Frederikshavn;80-89;2;2022-11-14
846;Mariagerfjord;80-89;2;2022-11-14
849;Jammerbugt;80-89;4;2022-11-14
851;Aalborg;80-89;6;2022-11-14
860;Hjørring;80-89;3;2022-11-14
101;København;90+;3;2022-11-14
147;Frederiksberg;90+;1;2022-11-14
151;Ballerup;90+;1;2022-11-14
223;Hørsholm;90+;1;2022-11-14
253;Greve;90+;1;2022-11-14
265;Roskilde;90+;1;2022-11-14
306;Odsherred;90+;1;2022-11-14
316;Holbæk;90+;1;2022-11-14
320;Faxe;90+;3;2022-11-14
326;Kalundborg;90+;1;2022-11-14
330;Slagelse;90+;1;2022-11-14
360;Lolland;90+;1;2022-11-14
376;Guldborgsund;90+;1;2022-11-14
440;Kerteminde;90+;1;2022-11-14
450;Nyborg;90+;1;2022-11-14
461;Odense;90+;2;2022-11-14
550;Tønder;90+;1;2022-11-14
573;Varde;90+;4;2022-11-14
630;Vejle;90+;3;2022-11-14
730;Randers;90+;1;2022-11-14
740;Silkeborg;90+;1;2022-11-14
756;Ikast-Brande;90+;1;2022-11-14
791;Viborg;90+;1;2022-11-14
851;Aalborg;90+;1;2022-11-14
