"Kommune";"Kommunenavn";"Aldersgruppe";"Bekræftede tilfælde i alt";"Dagsdato"
791;Viborg;12-15;4;2022-11-14
851;Aalborg;12-15;6;2022-11-14
860;Hjørring;12-15;1;2022-11-14
101;København;16-19;11;2022-11-14
147;Frederiksberg;16-19;2;2022-11-14
151;Ballerup;16-19;1;2022-11-14
159;Gladsaxe;16-19;2;2022-11-14
161;Glostrup;16-19;1;2022-11-14
175;Rødovre;16-19;1;2022-11-14
185;Tårnby;16-19;2;2022-11-14
190;Furesø;16-19;5;2022-11-14
201;Allerød;16-19;4;2022-11-14
210;Fredensborg;16-19;4;2022-11-14
217;Helsingør;16-19;2;2022-11-14
219;Hillerød;16-19;5;2022-11-14
223;Hørsholm;16-19;2;2022-11-14
230;Rudersdal;16-19;2;2022-11-14
240;Egedal;16-19;2;2022-11-14
253;Greve;16-19;2;2022-11-14
259;Køge;16-19;2;2022-11-14
260;Halsnæs;16-19;6;2022-11-14
265;Roskilde;16-19;2;2022-11-14
269;Solrød;16-19;1;2022-11-14
316;Holbæk;16-19;3;2022-11-14
320;Faxe;16-19;1;2022-11-14
329;Ringsted;16-19;2;2022-11-14
330;Slagelse;16-19;2;2022-11-14
370;Næstved;16-19;3;2022-11-14
376;Guldborgsund;16-19;6;2022-11-14
390;Vordingborg;16-19;2;2022-11-14
410;Middelfart;16-19;1;2022-11-14
430;Faaborg-Midtfyn;16-19;1;2022-11-14
440;Kerteminde;16-19;1;2022-11-14
461;Odense;16-19;2;2022-11-14
479;Svendborg;16-19;2;2022-11-14
480;Nordfyn;16-19;3;2022-11-14
530;Billund;16-19;1;2022-11-14
540;Sønderborg;16-19;3;2022-11-14
550;Tønder;16-19;1;2022-11-14
561;Esbjerg;16-19;1;2022-11-14
573;Varde;16-19;1;2022-11-14
580;Aabenraa;16-19;2;2022-11-14
621;Kolding;16-19;1;2022-11-14
630;Vejle;16-19;2;2022-11-14
657;Herning;16-19;4;2022-11-14
661;Holstebro;16-19;2;2022-11-14
671;Struer;16-19;1;2022-11-14
710;Favrskov;16-19;2;2022-11-14
730;Randers;16-19;2;2022-11-14
740;Silkeborg;16-19;5;2022-11-14
746;Skanderborg;16-19;1;2022-11-14
751;Århus;16-19;9;2022-11-14
756;Ikast-Brande;16-19;2;2022-11-14
760;Ringkøbing-Skjern;16-19;1;2022-11-14
766;Hedensted;16-19;1;2022-11-14
779;Skive;16-19;1;2022-11-14
787;Thisted;16-19;1;2022-11-14
791;Viborg;16-19;2;2022-11-14
810;Brønderslev;16-19;1;2022-11-14
813;Frederikshavn;16-19;5;2022-11-14
840;Rebild;16-19;3;2022-11-14
846;Mariagerfjord;16-19;2;2022-11-14
851;Aalborg;16-19;2;2022-11-14
860;Hjørring;16-19;1;2022-11-14
;;20-39;6;2022-11-14
019;;20-39;1;2022-11-14
101;København;20-39;139;2022-11-14
147;Frederiksberg;20-39;17;2022-11-14
151;Ballerup;20-39;9;2022-11-14
153;Brøndby;20-39;5;2022-11-14
155;Dragør;20-39;1;2022-11-14
157;Gentofte;20-39;5;2022-11-14
