"Kommune";"Kommunenavn";"Aldersgruppe";"Bekræftede tilfælde i alt";"Dagsdato"
350;Lejre;10-19;2725;2022-11-14
360;Lolland;10-19;3043;2022-11-14
370;Næstved;10-19;7649;2022-11-14
376;Guldborgsund;10-19;4682;2022-11-14
390;Vordingborg;10-19;3514;2022-11-14
400;Bornholm;10-19;3112;2022-11-14
410;Middelfart;10-19;3626;2022-11-14
420;Assens;10-19;3628;2022-11-14
430;Faaborg-Midtfyn;10-19;4633;2022-11-14
440;Kerteminde;10-19;2109;2022-11-14
450;Nyborg;10-19;2942;2022-11-14
461;Odense;10-19;17169;2022-11-14
479;Svendborg;10-19;5421;2022-11-14
480;Nordfyn;10-19;2655;2022-11-14
482;Langeland;10-19;773;2022-11-14
492;Ærø;10-19;434;2022-11-14
510;Haderslev;10-19;5112;2022-11-14
530;Billund;10-19;2586;2022-11-14
540;Sønderborg;10-19;6691;2022-11-14
550;Tønder;10-19;3232;2022-11-14
561;Esbjerg;10-19;10179;2022-11-14
563;Fanø;10-19;258;2022-11-14
573;Varde;10-19;4448;2022-11-14
575;Vejen;10-19;4021;2022-11-14
580;Aabenraa;10-19;5488;2022-11-14
607;Fredericia;10-19;4575;2022-11-14
615;Horsens;10-19;8922;2022-11-14
621;Kolding;10-19;8894;2022-11-14
630;Vejle;10-19;11799;2022-11-14
657;Herning;10-19;8730;2022-11-14
661;Holstebro;10-19;5985;2022-11-14
665;Lemvig;10-19;1693;2022-11-14
671;Struer;10-19;2014;2022-11-14
706;Syddjurs;10-19;3817;2022-11-14
707;Norddjurs;10-19;2994;2022-11-14
710;Favrskov;10-19;5424;2022-11-14
727;Odder;10-19;2309;2022-11-14
730;Randers;10-19;9179;2022-11-14
740;Silkeborg;10-19;9911;2022-11-14
741;Samsø;10-19;166;2022-11-14
746;Skanderborg;10-19;7040;2022-11-14
751;Århus;10-19;27854;2022-11-14
756;Ikast-Brande;10-19;4207;2022-11-14
760;Ringkøbing-Skjern;10-19;5759;2022-11-14
766;Hedensted;10-19;4809;2022-11-14
773;Morsø;10-19;1916;2022-11-14
779;Skive;10-19;4229;2022-11-14
787;Thisted;10-19;4156;2022-11-14
791;Viborg;10-19;10112;2022-11-14
810;Brønderslev;10-19;3756;2022-11-14
813;Frederikshavn;10-19;5140;2022-11-14
820;Vesthimmerland;10-19;3404;2022-11-14
825;Læsø;10-19;92;2022-11-14
840;Rebild;10-19;3202;2022-11-14
846;Mariagerfjord;10-19;4105;2022-11-14
849;Jammerbugt;10-19;3729;2022-11-14
851;Aalborg;10-19;18580;2022-11-14
860;Hjørring;10-19;6070;2022-11-14
;;20-29;3016;2022-11-14
011;;20-29;449;2022-11-14
012;;20-29;13;2022-11-14
019;;20-29;98;2022-11-14
101;København;20-29;108055;2022-11-14
147;Frederiksberg;20-29;13930;2022-11-14
151;Ballerup;20-29;3728;2022-11-14
153;Brøndby;20-29;3232;2022-11-14
155;Dragør;20-29;465;2022-11-14
157;Gentofte;20-29;3843;2022-11-14
159;Gladsaxe;20-29;5668;2022-11-14
161;Glostrup;20-29;2155;2022-11-14
163;Herlev;20-29;2229;2022-11-14
165;Albertslund;20-29;2662;2022-11-14
167;Hvidovre;20-29;4536;2022-11-14
169;Høje Tåstrup;20-29;4744;2022-11-14
173;Lyngby-Taarbæk;20-29;4457;2022-11-14
175;Rødovre;20-29;3469;2022-11-14
183;Ishøj;20-29;2340;2022-11-14
185;Tårnby;20-29;2692;2022-11-14
187;Vallensbæk;20-29;1159;2022-11-14
190;Furesø;20-29;1847;2022-11-14
201;Allerød;20-29;989;2022-11-14
210;Fredensborg;20-29;1969;2022-11-14
217;Helsingør;20-29;3544;2022-11-14
219;Hillerød;20-29;4087;2022-11-14
223;Hørsholm;20-29;886;2022-11-14
230;Rudersdal;20-29;2490;2022-11-14
240;Egedal;20-29;2231;2022-11-14
250;Frederikssund;20-29;2434;2022-11-14
253;Greve;20-29;2972;2022-11-14
259;Køge;20-29;4224;2022-11-14
260;Halsnæs;20-29;1651;2022-11-14
265;Roskilde;20-29;6653;2022-11-14
269;Solrød;20-29;1307;2022-11-14
270;Gribskov;20-29;1824;2022-11-14
306;Odsherred;20-29;1411;2022-11-14
316;Holbæk;20-29;4281;2022-11-14
320;Faxe;20-29;1954;2022-11-14
326;Kalundborg;20-29;2568;2022-11-14
329;Ringsted;20-29;2461;2022-11-14
330;Slagelse;20-29;6506;2022-11-14
336;Stevns;20-29;1078;2022-11-14
340;Sorø;20-29;1491;2022-11-14
350;Lejre;20-29;1187;2022-11-14
360;Lolland;20-29;1966;2022-11-14
370;Næstved;20-29;5968;2022-11-14
376;Guldborgsund;20-29;3681;2022-11-14
390;Vordingborg;20-29;2098;2022-11-14
400;Bornholm;20-29;1763;2022-11-14
410;Middelfart;20-29;1887;2022-11-14
420;Assens;20-29;1878;2022-11-14
430;Faaborg-Midtfyn;20-29;2378;2022-11-14
440;Kerteminde;20-29;1166;2022-11-14
450;Nyborg;20-29;1674;2022-11-14
461;Odense;20-29;27540;2022-11-14
479;Svendborg;20-29;3666;2022-11-14
480;Nordfyn;20-29;1429;2022-11-14
482;Langeland;20-29;468;2022-11-14
492;Ærø;20-29;210;2022-11-14
510;Haderslev;20-29;3284;2022-11-14
530;Billund;20-29;1471;2022-11-14
540;Sønderborg;20-29;4284;2022-11-14
550;Tønder;20-29;1883;2022-11-14
561;Esbjerg;20-29;9198;2022-11-14
563;Fanø;20-29;78;2022-11-14
573;Varde;20-29;2700;2022-11-14
575;Vejen;20-29;2427;2022-11-14
580;Aabenraa;20-29;3347;2022-11-14
607;Fredericia;20-29;3232;2022-11-14
615;Horsens;20-29;7548;2022-11-14
621;Kolding;20-29;6573;2022-11-14
630;Vejle;20-29;8301;2022-11-14
657;Herning;20-29;6810;2022-11-14
661;Holstebro;20-29;4700;2022-11-14
665;Lemvig;20-29;1035;2022-11-14
671;Struer;20-29;1045;2022-11-14
706;Syddjurs;20-29;1750;2022-11-14
707;Norddjurs;20-29;1994;2022-11-14
710;Favrskov;20-29;2264;2022-11-14
727;Odder;20-29;983;2022-11-14
730;Randers;20-29;7305;2022-11-14
740;Silkeborg;20-29;6090;2022-11-14
741;Samsø;20-29;79;2022-11-14
746;Skanderborg;20-29;2789;2022-11-14
751;Århus;20-29;58156;2022-11-14
756;Ikast-Brande;20-29;2422;2022-11-14
760;Ringkøbing-Skjern;20-29;3100;2022-11-14
766;Hedensted;20-29;2515;2022-11-14
773;Morsø;20-29;1127;2022-11-14
779;Skive;20-29;2753;2022-11-14
787;Thisted;20-29;2611;2022-11-14
791;Viborg;20-29;6077;2022-11-14
810;Brønderslev;20-29;1973;2022-11-14
813;Frederikshavn;20-29;3157;2022-11-14
820;Vesthimmerland;20-29;1971;2022-11-14
825;Læsø;20-29;42;2022-11-14
840;Rebild;20-29;1520;2022-11-14
846;Mariagerfjord;20-29;2347;2022-11-14
849;Jammerbugt;20-29;1903;2022-11-14
851;Aalborg;20-29;30474;2022-11-14
860;Hjørring;20-29;3996;2022-11-14
;;30-39;2898;2022-11-14
011;;30-39;983;2022-11-14
012;;30-39;19;2022-11-14
019;;30-39;215;2022-11-14
101;København;30-39;79401;2022-11-14
147;Frederiksberg;30-39;10597;2022-11-14
151;Ballerup;30-39;4435;2022-11-14
153;Brøndby;30-39;3649;2022-11-14
155;Dragør;30-39;1014;2022-11-14
157;Gentofte;30-39;4615;2022-11-14
159;Gladsaxe;30-39;6442;2022-11-14
161;Glostrup;30-39;2446;2022-11-14
163;Herlev;30-39;2765;2022-11-14
165;Albertslund;30-39;2445;2022-11-14
167;Hvidovre;30-39;5540;2022-11-14
169;Høje Tåstrup;30-39;5402;2022-11-14
173;Lyngby-Taarbæk;30-39;3927;2022-11-14
175;Rødovre;30-39;4285;2022-11-14
183;Ishøj;30-39;2594;2022-11-14
185;Tårnby;30-39;3999;2022-11-14
187;Vallensbæk;30-39;1774;2022-11-14
190;Furesø;30-39;3106;2022-11-14
201;Allerød;30-39;2054;2022-11-14
210;Fredensborg;30-39;3082;2022-11-14
217;Helsingør;30-39;4244;2022-11-14
219;Hillerød;30-39;4513;2022-11-14
223;Hørsholm;30-39;1399;2022-11-14
230;Rudersdal;30-39;3725;2022-11-14
240;Egedal;30-39;3963;2022-11-14
250;Frederikssund;30-39;3059;2022-11-14
253;Greve;30-39;4482;2022-11-14
259;Køge;30-39;4951;2022-11-14
260;Halsnæs;30-39;1989;2022-11-14
265;Roskilde;30-39;6642;2022-11-14
269;Solrød;30-39;2227;2022-11-14
270;Gribskov;30-39;2370;2022-11-14
306;Odsherred;30-39;1597;2022-11-14
316;Holbæk;30-39;5251;2022-11-14
320;Faxe;30-39;2691;2022-11-14
326;Kalundborg;30-39;2882;2022-11-14
329;Ringsted;30-39;2741;2022-11-14
330;Slagelse;30-39;5959;2022-11-14
336;Stevns;30-39;1525;2022-11-14
340;Sorø;30-39;2035;2022-11-14
350;Lejre;30-39;2143;2022-11-14
360;Lolland;30-39;2329;2022-11-14
370;Næstved;30-39;6048;2022-11-14
376;Guldborgsund;30-39;4081;2022-11-14
